video_id,title,label,tactic_label,tds_score,frame_dir,audit_status
J9xErXLh3bo,এইমাত্র! মসজিদে নামাজরত অবস্থায় তিন বৃদ্ধকে পিটালো যুবলীগ নেতা! ন্যাক্কারজনক ঘটনায় তোলপাড় সারাদেশ,clickbait,,,data/extracted_frames/J9xErXLh3bo,dead
HPa6mRwjUg8,"১০ বছরের সন্তান ফেলে আ,লীগ নেতার সাথে পালিয়ে গেল এমপির মেয়ে! সব হারিয়ে কাঁদছে এমপি ও জামাই",clickbait,,0.22487741708755493,data/extracted_frames/HPa6mRwjUg8,live
bwkR5p0VY7Y,এই মাত্র পাওয়া খবর! ৫ বছরের জেল হচ্ছে পরীমনির! বাঁচাতে পারলোনা নায়ক শাকিব খানও। Pori Moni News,clickbait,,0.1603173017501831,data/extracted_frames/bwkR5p0VY7Y,live
rwxsUpXAozk,ছি ছি! ভাগিনার সাথে পরকীয়ার সময় হাতেনাতে ধরা খেল মামী। গাছে বেঁধে গনধোলাই দিয়ে পুলিশে দিল এলাকাবাসী,clickbait,,0.37375855445861816,data/extracted_frames/rwxsUpXAozk,live
hyBKq5IBras,হায়রে পরীমনি! কারাগারে গিয়েও ভালো হলোনা! কারাগারেও মদ খাচ্ছে পরীমনি! দেখুন সত্যি নাকি গজব? Pori Moni,clickbait,,0.33530718088150024,data/extracted_frames/hyBKq5IBras,live
TCtoPI-o0AQ,শেষ রক্ষা হলোনা! ভয়াবহ বন্যায় তলিয়ে গেল নীলফামারী ও সিরাজগঞ্জ! ভয়ঙ্কর ভাঙনের মুখে কুষ্টিয়া। Flood BD,clickbait,,0.14771586656570435,data/extracted_frames/TCtoPI-o0AQ,live
ZVtRXuBClnY,সে*ক্সটয় দিয়ে বিশেষ রুমে যা যা করতো পরীর গডফাদার রাজ! রিমান্ডে নিজ মুখে সব স্বীকার করলো। Pori। Razz,clickbait,,0.27771270275115967,data/extracted_frames/ZVtRXuBClnY,live
ZLQJ3ZVMSXA,"অন্ধকার কারাগারে কেমন কাটলো পরীমনির ১ম রাত? অঝোরে কেঁদেছে সারারাত, খায়নি কিছু। Pori Moni in Jail",clickbait,,0.23102903366088867,data/extracted_frames/ZLQJ3ZVMSXA,live
A8z79Vme1AE,আমার পরীকে ছেড়ে দে! অবশেষে নায়িকা পরীমনিকে মুক্ত করতে কঠিন হুংকার দিলো শাকিব খান ও আসিফ। Pori Moni,clickbait,,0.21417510509490967,data/extracted_frames/A8z79Vme1AE,live
5-lj0B8TN3s,ব্রেকিং! নওগাঁয় আসামি ধরতে গিয়ে কঠিন মারপিটের শিকার এসআই। ও ডাকাতি করতে গিয়ে আটক সাবেক পুলিশ,clickbait,,0.13069164752960205,data/extracted_frames/5-lj0B8TN3s,live
4goGgtNLBRw,ইয়া আল্লাহ বাঁচাও! আচমকা বন্যায় তলিয়ে গেল পুরো রংপুর! নদী ভাঙনে বিলীন শতশত বাড়িঘর। Flood BD 2021,clickbait,,0.24306493997573853,data/extracted_frames/4goGgtNLBRw,live
pVuD1z8-j7I,শেষ রক্ষা হলোনা নষ্ট পরীমনির! ধরে বেঁধে কারাগারে ঢুকালো পুলিশ। পড়ালো সাদা শাড়ি। Pori Moni in Jail,clickbait,,0.15247362852096558,data/extracted_frames/pVuD1z8-j7I,live
XjluDWTWfZU,টানা ৩ দিন ভোগের পর! প্রেমিকের বাড়িতে এক সন্তানের জননীর অনশন। বিয়ে না করলে গলায় দড়ি দেয়ার হুংকার,clickbait,,0.13814258575439453,data/extracted_frames/XjluDWTWfZU,live
ouoDBQdVM5U,ছি! ছি! কলকাতা গিয়েও হোটেলে কুকাম করে বেড়াতো পরীমনি। সব ফাঁস করলো ভারতীয় পুলিশ ও পরীর গ্রামবাসী,clickbait,,0.4759408235549927,data/extracted_frames/ouoDBQdVM5U,live
AK-E06E5RDg,ব্রেকিং নিউজ! রিমান্ডে পরীমনিকে ধ*র্ষ'ণ! যা নিয়ে তোলপাড় চলছে! ভারত থেকে প্রশ্ন তুললো তসলিমা,clickbait,,0.27654093503952026,data/extracted_frames/AK-E06E5RDg,live
UA8iNjKRZ9I,ব্রেকিং! সুনামগঞ্জে এসআইকে পিটিয়ে হাসপাতালে পাঠালো যুবলীগ নেতা! উত্তাল পুরোদেশ। Bangla News Today,clickbait,,0.24845677614212036,data/extracted_frames/UA8iNjKRZ9I,live
3JrFF84sNHc,"গরম খবর! স্বর্ণ চুরি করা সেই ৬ পুলিশকে রিমান্ডে নিলো র‍্যাব। ছাড় নাই, মেরে হাড্ডি গুঁড়ো করা হচ্ছে",clickbait,,0.20412039756774902,data/extracted_frames/3JrFF84sNHc,live
