video_id,title,label,tactic_label,tds_score,frame_dir,audit_status
-SpHq_CW38Y,এই মাত্র পাওয়া! সব স্বীকার করে যে ভয়াবহ গোপন তথ্য দিল অনিক সরকার। একে একে বেরিয়ে আসছে সব তথ্য,clickbait,,0.1919004321098327,data/extracted_frames/-SpHq_CW38Y,live
0qQTzPvw_ig,এবার নাতনিকে বিয়ে করলো রাজশাহীর বুড়ো মেয়র! কুমিল্লার সেই রিক্সাচালকের বিচার হলে ওনার কি হবে না?,clickbait,,0.1857430934906005,data/extracted_frames/0qQTzPvw_ig,live
17M9XIMGApE,চীন থেকে কেনা  সিনোফার্মের টিকা আসছে আজ রাতেই || #Sinopharm vaccine,non_clickbait,,0.5541639029979706,data/extracted_frames/17M9XIMGApE,live
2KxqeMDZ_AM,এবার আপন ভাতিজার সাথে পালালো ২ সন্তানের মা। দেখুন মানুষ কতটা খারাপ হলে এমন কাজ করতে পারে,clickbait,,0.361895740032196,data/extracted_frames/2KxqeMDZ_AM,live
32_i9BZlOcA,একি করছে সৌদি আরব? এবার মুসলমানদের শত্রু ইসরায়েল এর সাথে যোগ দেবে সৌদি ।।exclusive information,clickbait,,0.8262136578559875,data/extracted_frames/32_i9BZlOcA,live
34K1OflTVrg,না ফেরার দেশে সবার প্রিয় তারকা চলে গেলেন ইরফান খান! We will miss you legend! Irrfan khan Star Golpo,non_clickbait,,0.5215117037296295,data/extracted_frames/34K1OflTVrg,live
3b1xwe-ujZw,২১ বছর ধরে স্থগিত আব্দুর রব সেরনিয়াবাতসহ ৮ জনকে হত্যার মামলা || Abdur Rab Serniabat,non_clickbait,,0.5922442078590393,data/extracted_frames/3b1xwe-ujZw,live
3c3kxCKqpB4,'সামাজিক সুরক্ষার বিভিন্ন ভাতা মূল্যস্ফীতির তুলনায় যথেষ্ট নয়' || CPD Webinar,non_clickbait,,0.6464927196502686,data/extracted_frames/3c3kxCKqpB4,live
4iVvmOxC-iw,শুটিং শেষে নায়ক নায়িকাদের পোশাকগুলো  কি হয় জানেন?? ।। Ruposhi Bangla Tv ।।,clickbait,,0.0521767735481262,data/extracted_frames/4iVvmOxC-iw,live
5-1l3UcUtYI,ভয়াবহ গোপন তথ্য ফাঁস! ফেতনা সৃষ্টি করছেন আজহারী? দেখুন আলেম সমাজ কি বলছে ও চলছে পাল্টাপাল্টি অভিযোগ,clickbait,,0.1575949788093567,data/extracted_frames/5-1l3UcUtYI,live
